# key	english
UI/Blueprint	Blueprint
UI/Continue	Continue
UI/Craft	Craft
UI/Disassemble	Disassemble
UI/Eat	Eat
UI/EventBlackout	The electricity has been cut off!
UI/EventNoWater	The water has been cut off!
UI/EventTrade	The Postman is missing!
UI/Food	Food
UI/Gear	Gear
UI/Grab	Grab
UI/Item	Items
UI/Material	Materials
UI/Separate	Separate
UI/Trade	Trade
UI/Use	Use
UI/Hide	Hide
UI/Unhide	Unhide
UI/LadderHide	Cover
UI/LadderUnhide	Uncover
UI/PlanHide	Turn
UI/PlanUnhide	Turn
UI/	
UI/agentClock	Open the door, the Agent has arrived!
UI/reportHeader	Inspection Result
UI/reportMissingItems	Essential items lacking
UI/reportRedundantItems	Suspicious items
UI/reportAdditionalText	We remind you to be a good citizen.
UI/reportNone	none
UI/reportNextVisit	Next visit
UI/reportNextVisitDemo	- 
UI/reportConsumption	Consumption
UI/reportSuspicion	Suspicion level
UI/reportPreparedness	Preparedness
UI/reportPositive	Result: <i>Positive score</i>
UI/reportNegative	Result: <i>Negative score</i>
UI/reportGrade	Grade
UI/reportResult	Result:
UI/reportItemRedundant	Too many:
UI/reportItemMissing	Too little:
UI/reportAnyItem	any
UI/reportGradeTooltip	The grade depends on the result of the visit.
UI/reportSuspicionTooltip	The suspicion level depends on the results from all visits.\nIf the Agent doesn't suspect anything, you get a buff.\nIf the Agent suspects something, you get a debuff.
UI/reportConsumptionTooltip	Keep consumption below suspect values
UI/reportWaterTooltip	Average daily water consumption
UI/reportElectricityTooltip	Electricity consumption
UI/reportNextVisitTooltip	The agent will visit you on:
UI/reportNextVisitTooltipDay	day
UI/reportNextVisitTooltipMonth	month
UI/reportManualHeader	Citizen Inspection Protocol
UI/reportManualNextVisit	To be conducted in 1–7 days intervals, depending on the suspicion level.
UI/reportManualItems	Standard house equipment
UI/reportManualConsumption	Consumption rate up to
UI/reportManualItemsText	The rating is up to your judgement, but you should pay attention to the lack of certain items or excess thereof (relative to the standard).
UI/reportManualEleInfo	Check the electricity box
UI/reportManualSinkInfo	Check the sink
UI/reportManualWaterInfo	Water usage per day (since the last visit)
UI/reportManualBorderRed	The most\nSuspicious
UI/reportManualBorderOrange	More\nSuspicious
UI/tooltipQuantity	Safe quantity
UI/tooltipType	For all items of the category
UI/reportNotOpen	I'll come tomorrow. Avoiding inspection has serious consequences!
UI/reportUnsuccessful	Unsuccessful
UI/pcs	pcs.
UI/EventBlackoutC	The electricity has been cut off!
UI/EventNoWaterC	The water has been cut off!
UI/EventTradeC	The Postman is missing!
UI/EventAgentC	The Agent
UI/shelterSpaceOccupied	Shelter space is already occupied
UI/shelterSiloUnreachable	The silo is unreachable. Build more rooms to reach it.
UI/demoBlockText	Not available in the demo
UI/endOfDemo	Demo Ends
UI/LimitBar	Sleep to recover
UI/BlueprintsIcon	Blueprints [Tab]
UI/StatusIcon	Prepper Status [U]
UI/ClockIcon	Clock [T]
UI/ConstructionIcon	Construction [B]
UI/InventoryIcon	Inventory [I]
UI/Bunker	Bunker
UI/Farming	Farming
UI/Decorative	Decorative
UI/Food0	Basic recipes
UI/Food1	Cookbook 1
